nctId,briefTitle,phases,has_resultsSection,primary_outcomes_extracted,stats_or_conclusion_snippets,auto_suggest_outcome_label,auto_suggest_confidence,ctgov_url,error
NCT00455325,Chloroquine to Treat People With Metabolic Syndrome Aim2 (ARCH-MS),PHASE2,1.0,Insulin Sensitivity | assessed every 8 - 10 weeks at the end of each treatment period | Hepatic insulin sensitivity was measured by comparing glucose production at baseline of zero insulin infusion rate with glucose production at 56 pmol/m2/min. Hepatic insulin sensitivity was expressed as the perce,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00455325,
NCT02325466,Comparative Efficacy of Ticagrelor Versus Aspirin on Blood Viscosity in Peripheral Artery Disease Patients With Type 2 Diabetes,PHASE3,1.0,"Mean Change in Low Shear Blood Viscosity | baseline, week 16 | Compare the effect of aspirin-ticagrelor and ticagrelor monotherapy with aspirin on blood viscosity from week 16 to baseline || Mean Change in High Shear Blood Viscosity | baseline and week 16 | Compare the effect of aspirin-ticagrelor and ticagrelor monotherapy with aspirin on blood viscosity at week 16 to baseline",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02325466,
NCT03011775,"Effect of Pioglitazone on Insulin Resistance, Atherosclerosis Progression and Clinical Course of Coronary Heart Disease",PHASE4,1.0,"Сardiovascular Death | Baseline and 1 year | Number of Participants with cardiovascular death || Coronary Artery Bypass [Coronary Revascularization] | Baseline and 1 year | Number of Participants with revascularization coronary procedures (coronary artery bypass grafting) || Cardiovascular Hospitalization | Baseline and 1 year | Number of Participants with acute coronary syndrome (ACS) or unstable angina (UA) || Percutaneous Coronary Intervention [Coronary Revascularization] | Baseline and 1 year | Number of Participants with incidence of percutaneous coronary intervention. || Safety and Tolerability 1 | Baseline, 6 month and 1 year | Liver injury: mean values of ALT",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03011775,
NCT03096288,Impact of Evolocumab on the Effects of Clopidogrel in Patients With High On-Treatment Platelet Reactivity,PHASE4,1.0,Platelet Reactivity Defined by VerifyNow PRU in HPR and NPR Patients | 30 days | The primary end point of our study is the comparison of P2Y12 reaction units (PRU) measured by VerifyNow between evolocumab and placebo at 30 days after randomization. PRU is a well-established measure of platelet react,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03096288,
NCT00189540,Study of Hepatocyte Growth Factor (HGF) Via Plasmid Vector to Improve Perfusion in Critical Limb Ischemia Patients With Peripheral Ischemic Ulcers,PHASE2,1.0,"Wound Healing (Change in Total Wound Area of All Ischemic Ulcers) | Baseline, Month 3, Month 6 | Wound healing measured by change in mean total wound area of all ischemic ulcers at Month 3 and Month 6",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00189540,
NCT02624180,Inflammatory Pathogenesis of Coronary Atherosclerosis in HIV,PHASE2,1.0,Coronary Endothelial Function Measured by Percent Change in Coronary Blood Flow With Exercise (%) at 8 Weeks | Difference between measurements at baseline compared to measurement at 8 weeks | Percent change in coronary blood flow (CBF) from rest to that during isometric handgrip exercise (IHE) stres,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02624180,
NCT03228017,Subclinical Cardiovascular Disease in Psoriatic Disease,PHASE4,1.0,"Mean Fold Change in Brachial Vein Endothelial Inflammatory Transcript | Baseline, 5 Months | Endothelial sampling coupled to real-time PCR analysis will be used to monitor brachial vein endothelial inflammation",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03228017,
NCT02338999,Role of PPAR-y Agonists in Immunomodulation and Vascular Prevention in SLE (PPAR-SLE),"PHASE1,PHASE2",1.0,"Change in Vascular Function and Cardiometabolic Risk as Measured by Left CAVI at Month 3 | 3 months after start of first intervention (Baseline to 3 months) | Change in vascular function using non-invasive vascular tests, measuring vascular compliance - Cardio ankle vascular index (CAVI).

CAVI is a || Change in Vascular Function and Cardiometabolic Risk as Measured by Left CAVI at Month 8 | 3 months after start of second intervention (5 months to 8 months) | Change in vascular function using non-invasive vascular tests, measuring vascular compliance - Cardio ankle vascular index (CAVI).

CAVI is  || Change in Vascular Function and Cardiometabolic Risk as Measured by Right CAVI at Month 3 | 3 months after start of first intervention (Baseline to 3 months) | Change in vascular function using non-invasive vascular tests, measuring vascular compliance - Cardio ankle vascular index (CAVI).

CAVI is  || Change in Vascular Function and Cardiometabolic Risk as Measured by Right CAVI at Month 8 | 3 months after start of second intervention (5 months to 8 months) | Change in vascular function using non-invasive vascular tests, measuring vascular compliance - Cardio ankle vascular index (CAVI).

CAVI is || Change in Vascular Function and Cardiometabolic Risk as Measured by PWV at Month 3 | 3 months after start of first intervention (Baseline to 3 months) | Change in vascular function using non-invasive vascular tests, measuring vascular compliance -Pulse, wave, velocity (PWV).

The central aortic pres",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02338999,
NCT03485495,Clinical Trial of Efficacy and Safety of Divaza for Adjustment of Oxidative Disorders in Patients With Cerebral Atherosclerosis,PHASE4,1.0,Change in Mean Value of Lipoprotein Resistance to LPO. | 12 weeks of the observation period. | Based on laboratory evaluation. Change in the mean resistance of lipoprotein (LP) to lipid peroxidation (LPO) after 12-week therapy versus baseline.,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03485495,
NCT02104817,Outcomes Study to Assess STatin Residual Risk Reduction With EpaNova in HiGh CV Risk PatienTs With Hypertriglyceridemia,PHASE3,1.0,"The Composite of Major Adverse Cardiovascular Events (MACE) | From the date of randomization and up to completion of the end-of-treatment visit (Month 60) or at study closure | MACE components include: cardiovascular (CV) death, nonfatal myocardial infarction (MI), nonfatal stroke, emergent/elective",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02104817,
NCT00147251,Stop Atherosclerosis in Native Diabetics Study,PHASE4,1.0,"Changing LDL Cholesterol | 36 months | LDL cholesterol intervention to lower targets than are currently recommended to retard atherosclerosis measured by LDL-C mg/dL.

Scale: LDL cholesterol levels should be less than 100 mg/dL",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00147251,
NCT01099215,Study of PVS-10200 for the Treatment of Restenosis in Patients With Peripheral Artery Disease (TRIUMPH),"PHASE1,PHASE2",1.0,Incidence of Major Adverse Events (MAEs) | within 4 weeks after study procedure | Major Adverse Events are: - Death - Major amputation - Procedural related serious adverse events - Investigational product related serious adverse events,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01099215,
NCT00228423,Trial of Clopidogrel After Surgery for Coronary Artery Disease (CASCADE Trial),PHASE2,1.0,"Vein Graft Intimal Area | One year following surgery | IVUS imaging 12 months post-CABG, and the average intimal area in the proximal 40 mm of one vein graft per patient will be assessed",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00228423,
NCT03067441,Assessment of the Long-Term Safety and Efficacy of Bempedoic Acid (CLEAR Harmony OLE),PHASE3,1.0,Number of Participants With Treatment-Emergent Adverse Events (TEAEs) | Up to Week 82 | TEAEs are defined as adverse events that began or worsened in severity after the first dose of investigational medicinal product (IMP) until 30 days after the last dose in the Open-Label Extension (OLE) Study.,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03067441,
NCT02217501,Antiplatelet Strategy for Peripheral Arterial Interventions for Revascularization of Lower Extremities,PHASE3,1.0,"Number of Participants With First Occurrence of Target Vessel Occlusion, Surgical Revascularization, Endovascular Revascularization, Major Amputation of Target Limb, Ischemic Stroke, MI, or Death | 12 months from index procedure or end of study treatment, whichever is longer, assessed up to 2 years ",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02217501,
NCT01645306,Revacept in Symptomatic Carotid Stenosis,PHASE2,1.0,New DWI Lesion(s) | 1 day post intervention | The number of new diffusion weighted imaging (DWI) lesion(s) reported. (1 day after intervention compared to baseline).,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01645306,
NCT02016755,A Phase IIB Pilot Study of a Modified Dosage Regimen of AMG0001 in Subjects With Critical Limb Ischemia,PHASE2,1.0,"Number of Participants With Adverse Events (AEs) Suspected to be Related to Injections of AMG0001 | 18 months | All summaries and analyses will be presented in tabular or graphical form. The study is not powered for the statistical inference and the test will be considered to be descriptive.

Treatm || Number of Participants Discontinued Due to AEs From the Injections of AMG0001 | up to 18 Months | All summaries and analyses will be presented in tabular or graphical form. The study is not powered for the statistical inference and the test will be considered to be descriptive.

Treatment-emergent a",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02016755,
NCT00403494,A Phase 2 Study of the Effects of Sapropterin Dihydrochloride on Symptomatic Peripheral Arterial Disease,PHASE2,1.0,"Change in Peak Walking Time (PWT) From Baseline | Baseline and up to Week 24 | This is to assess the effect of oral sapropterin dihydrochloride versus placebo on peak walking time (PWT) in subjects with intermittent claudication (IC) caused by peripheral arterial disease (PAD). || Number of Subjects With Adverse Events (AEs) | Up to 24-weeks | Adverse events were described and summarized with focus on treatment- emergent events (TEAEs). A TEAE was defined as any AE that presented , increased in frequency or worsened in severity following initiation of study drug administratio",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00403494,
NCT03194776,Study of LLG783 in Patients With Peripheral Artery Disease (PAD) and Intermittent Claudication,PHASE2,1.0,"Number of Participants With Adverse Events (AEs), Drug-related AEs, Serious Adverse Events (SAEs) and Deaths | Up to 32 Weeks | An AE is any untoward medical occurrence (that is, any unfavorable and unintended sign, including abnormal laboratory findings, symptom or disease) in a participant after p || Change From Baseline in Maximum Walking Distance (MWD) as Assessed by 6-minute Walk Test (6MWT) at Week 16 | Baseline, Week 16 (Day 113) | MWD was assessed by the 6MWT prior to dosing was used to evaluate functional capacity of peripheral artery disease (PAD) participants. 6MWT test included measure",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03194776,
NCT02504216,Efficacy and Safety of Rivaroxaban in Reducing the Risk of Major Thrombotic Vascular Events in Subjects With Symptomatic Peripheral Artery Disease Undergoing Peripheral Revascularization Procedures of the Lower Extremities,PHASE3,1.0,"Primary Efficacy Outcome: Number of Participants With Composite of Myocardial Infarction (MI), Ischemic Stroke, Cardiovascular Death, Acute Limb Ischemia (ALI) and Major Amputation Due to a Vascular Etiology | For each participant, the first occurrence of the composite primary efficacy outcome after || Primary Safety Outcome: Number of Participants With TIMI (Thrombolysis in Myocardial Infarction) Major Bleeding | For each participant, the first occurrence of the primary safety outcome after randomization up until 2 days after permanent stop of study drug (rivaroxaban or rivaroxaban placebo). | On",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02504216,
NCT03469349,Actovegin 12-Week Treatment Given First Intravenously and Subsequently Orally in Participants With Peripheral Arterial Occlusive Disease Fontaine Stage IIB,PHASE3,1.0,Percent Change From Baseline in Initial Claudication Distance (ICD) at Week 12 | Baseline up to Week 12 | ICD was the distance walked at the onset of claudication pain or pain-free walking distance. ICD was assessed using treadmill testing. A fixed load treadmill test was carried out at 3.0 kilomete,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03469349,
NCT03399370,Inclisiran for Participants With Atherosclerotic Cardiovascular Disease and Elevated Low-density Lipoprotein Cholesterol,PHASE3,1.0,"Percentage Change in LDL-C From Baseline to Day 510 | Baseline, Day 510 || Time-adjusted Percentage Change in LDL-C Levels From Baseline After Day 90 and up to Day 540 | Baseline, Day 90 to Day 540 | Assessments performed at Baseline, Day 90, Day 540, time-adjusted percent change at Day 540 reported",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03399370,
NCT01813357,Does Rosuvastatin Delay Progression of Atherosclerosis in HIV,PHASE4,1.0,Progression of Carotid Intima Media Thickness | Baseline to week 96 | Carotid intima media thickness will be measured by ultrasonography and the change from baseline to week 96 calculated,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01813357,
NCT03400800,Inclisiran for Subjects With ASCVD or ASCVD-Risk Equivalents and Elevated Low-density Lipoprotein Cholesterol,PHASE3,1.0,"Percentage Change in LDL-C From Baseline to Day 510 | Baseline, Day 510 || Time-adjusted Percent Change in LDL-C Levels From Baseline After Day 90 and up to Day 540 | Baseline, Day 90 to Day 540",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03400800,
NCT02666664,Evaluation of Long-Term Safety and Tolerability of ETC-1002 in High-Risk Patients With Hyperlipidemia and High CV Risk (CLEAR Harmony),PHASE3,1.0,"Percentage of Participants With Treatment-emergent Adverse Events (TEAEs) | Up to approximately 52 weeks | TEAEs, defined as adverse events (AEs) that began or worsened in severity after the first dose of double-blind study drug and up to 30 days after receiving the last dose of double-blind study d || Percentage of Participants With Adjudicated Major Adverse Cardiovascular Event | Up to approximately 52 weeks | TEAEs, defined as AEs that began or worsened in severity after the first dose of double-blind study drug and up to 30 days after receiving the last dose of double-blind study drug, were co || Percentage of Participants With the Indicated Event of Special Interest: Creatine Kinase Elevations | Up to approximately 52 weeks | TEAEs of special interest (AESIs) were predefined and monitored throughout the study. Creatine kinase elevations were assessed using the following preferred term: Bloo || Percentage of Participants With the Indicated Event of Special Interest: Hepatic Disorders | Up to approximately 52 weeks | Treatment-emergent AESIs were predefined and monitored throughout the study. TEAEs potentially related to hepatic events were assessed using the following preferred terms and l || Percentage of Participants With the Indicated Event of Special Interest: Hypoglycemia | Up to approximately 52 weeks | Treatment-emergent AESIs were predefined and monitored throughout the study. Hypoglycemia was assessed using the following preferred terms: hypoglycaemia (system organ class: metabo",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02666664,
NCT03001076,Evaluation of the Efficacy and Safety of Bempedoic Acid (ETC-1002) as Add-on to Ezetimibe Therapy in Patients With Elevated LDL-C (CLEAR Tranquility),PHASE3,1.0,Percent Change From Baseline to Week 12 in Low-Density Lipoprotein Cholesterol (LDL-C) | Week 12 | Blood samples were drawn after a minimum 10-hour fast (water was allowed) at pre-specified intervals. Samples were collected and analyzed for LDL-C. Baseline was defined as the mean of the LDL-C values,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03001076,
NCT02991118,Evaluation of Long-Term Efficacy of Bempedoic Acid (ETC-1002) in Patients With Hyperlipidemia at High Cardiovascular Risk,PHASE3,1.0,Percent Change From Baseline to Week 12 in Low-density Lipoprotein Cholesterol (LDL-C) | Baseline; Week 12 | Baseline is defined as the mean of the LDL-C values from the last two non-missing values on or prior to Day 1. Percent change from Baseline is calculated as (\[post-baseline value minus basel,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02991118,
NCT01401517,"Phase IIa: Safety, PK, & Tolerability of Sodium Nitrite in Patients With Peripheral Arterial Disease-SONIC",PHASE2,1.0,Reporting of Adverse Events During 11 Week Treatment Period. | 11 weeks | The primary objective of this clinical study is to evaluate the safety and tolerability of multiple doses of twice daily 40mg and 80mg sodium nitrite compared with placebo over a 10 week treatment period. Subjects will be aske,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01401517,
NCT02576067,Cardiovascular Inflammation Reduction Trial - Inflammation Imaging Study,PHASE3,1.0,Change in Arterial Inflammation | baseline and 8 months | Change in arterial inflammation - The relative change at 8 months as compared to baseline in arterial inflammation as measured by the most diseased segment (MDS) of the index vessel. The MDS is defined as the 1.5 cm segment within the carotid,,NEGATIVE,LOW/MED (auto),https://clinicaltrials.gov/study/NCT02576067,
NCT03337308,"A Study Evaluating the Safety and Efficacy of Bempedoic Acid Plus Ezetimibe Fixed-Dose Combination Compared to Bempedoic Acid, Ezetimibe, and Placebo in Patients Treated With Maximally Tolerated Statin Therapy",PHASE3,1.0,Percent Change From Baseline to Week 12 in Low-density Lipoprotein Cholesterol (LDL-C) | Baseline; Week 12 | Blood samples were drawn after a minimum 10-hour fast (water was allowed) at pre-specified intervals. Samples were collected and analyzed for LDL-C. Baseline was defined as the mean of the LD,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03337308,
NCT02988115,Evaluation of the Efficacy and Safety of Bempedoic Acid (ETC-1002) in Patients With Hyperlipidemia and Statin Intolerant,PHASE3,1.0,Percent Change From Baseline (PCFB) in Low-density Lipoprotein Cholesterol (LDL-C) at Week 12 | Baseline; Week 12 | PCFB was calculated as the (\[post-Baseline (BL) value minus the BL value\] divided by the BL value ) x 100. BL was defined as the mean of the last two non-missing values on or prior t,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02988115,
NCT03358355,Unacylated Ghrelin to Improve FuncTioning in PAD: The GIFT Trial,"PHASE1,PHASE2",1.0,Levels of Unacylated Ghrelin | Baseline and at scheduled intervals up to 24 hours after baseline | Levels of unacylated ghrelin are measured before and after every injection,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03358355,
NCT02819011,"OHI--Randomized Control Trial to Evaluate Efficacy, Acceptability, and Perception of Benefit of an Innovative Custom AFO",PHASE2,1.0,Hip Sway Change From Baseline to 6 Months | baseline to 6 months | Hip sway (motion of hip joints in three dimensions) measured by wearable sensors while wearing their own shoes compared to the orthopedic shoes and compared to orthopedic shoes plus Ankle-Foot Orthosis (AFO) || Ankle Sway Change From Baseline to 6 Months | baseline to 6 months | Ankle sway (motion of ankle joint in three dimensions) measured by wearable inertial sensors while wearing their own shoes compared to the orthopedic shoes and compared to orthopedic shoes plus Ankle-Foot Orthosis (AFO) || Center of Mass (COM) Sway Change Baseline to 6 Months | baseline to 6 months | Center of Mass (COM) sway measured by wearable inertial sensors while wearing their own shoes compared to the orthopedic shoes and compared to orthopedic shoes plus Ankle-Foot Orthosis (AFO),,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02819011,
NCT02548650,Vorapaxar as an Add-On Antiplatelet Therapy in Patients With and Without Diabetes Mellitus,PHASE4,1.0,Maximal Platelet Aggregation in DM | 30 days | Comparison of maximal platelet aggregation (%) measured by light transmittance aggregometry between between triple (vorapaxar plus DAPT) and dual (vorapaxar plus clopidogrel) therapy in diabetic patients,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02548650,
NCT00687076,Effectiveness of Intensive Lipid Modification Medication in Preventing the Progression of Peripheral Arterial Disease (The ELIMIT Study),PHASE4,1.0,Effect of Intensive Lipid Modification Medication Therapy on Progression of Atherosclerosis and Restenosis of Femoral Arteries Measured Using High Resolution Magnetic Resonance Imaging (MRI) to Examine the Femoral Artery for Progression of Atherosclerosis | Measured at baseline and 24 Months | The p,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00687076,
NCT01327846,Cardiovascular Risk Reduction Study (Reduction in Recurrent Major CV Disease Events),PHASE3,1.0,"Analysis of Core Phase First CEC Confirmed Major Adverse Cardiovascular Events (MACE) and Its Components | From randomization, to end of treatment plus 30 days, up to approximately 6 years | Time to occurrence of CEC (Cardiovascular clinical events adjudication committee) confirmed MACE, which was a || Substudy 1 (Core Phase): Change From Baseline in Carotid Plaque Burden in the Bifurcation Region of the Index Carotid Artery | 24 months || Substudy 2 (Core Phase): Change From Baseline of the Insulin Secretion Rate (ISR) Relative to Glucose 0-30 Min Defined as Φ30 = AUCISR 0-30 / AUCGluc 0-30 Averaged Across the Year 3, 4, 5 Visits | From randomization up to approximately 6 years",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01327846,
NCT00330733,Salsalate Therapy to Reduce Insulin Resistance and Cardiovascular Risk,"PHASE2,PHASE3",1.0,Change in Systemic Glucose Disposal- Glucose Infusion Rates | 3 months | Participants were admitted to the Clinical Research Units at 06:00-08:00 hours after an overnight fast. Euglycaemic-hyperinsulinaemic clamps were conducted at baseline and at the end of the study. Because salsalate therapy appe,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00330733,
NCT02546323,A phase3 Study Measuring the Effect of Rosuvastatin 20 mg on Carotid Intima-Media Thickness in Chinese Subjects With Subclinical Atherosclerosis,PHASE3,1.0,Annualized Rate of Change in Mean of the Maximum (MeanMax) CIMT Measurements From Each of the 12 Carotid Artery Sites Based on All Scans Performed During the 104-Week Study Period | From baseline (pre-randomization Week -2 and Week -4) to end-of-study (Week 104). | CIMT measurements were made from u,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02546323,
NCT02260622,,,,,,,,,"HTTPSConnectionPool(host='clinicaltrials.gov', port=443): Max retries exceeded with url: /api/v2/studies/NCT02260622?format=json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))"
NCT00822172,Evaluation of Cilostazol in Combination With L-Carnitine,PHASE4,1.0,"Change From Baseline in Peak Walking Time (PWT) at Day 180 | Baseline, Day 180 | Subjects were asked to complete a standardized exercise treadmill test using a modified Gardner protocol. Subjects walked on the treadmill until they were physically unable to walk further either as a result of their pe",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT00822172,
